REGION,YEAR,WEEK,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS,YEARWEEK,PRETTYDATE
Alabama,2010,40,2.13477,249,35,11664,2010-40,2010-10-04
Alabama,2010,41,2.05999,239,31,11602,2010-41,2010-10-11
Alabama,2010,42,1.94224,232,33,11945,2010-42,2010-10-18
Alabama,2010,43,2.2765,274,36,12036,2010-43,2010-10-25
Alabama,2010,44,2.83371,342,35,12069,2010-44,2010-11-01
Alabama,2010,45,3.46224,419,34,12102,2010-45,2010-11-08
Alabama,2010,46,3.53248,434,33,12286,2010-46,2010-11-15
Alabama,2010,47,4.27655,360,33,8418,2010-47,2010-11-22
Alabama,2010,48,4.44043,467,35,10517,2010-48,2010-11-29
Alabama,2010,49,5.81097,656,37,11289,2010-49,2010-12-06
Alabama,2010,50,10.4359,1245,36,11930,2010-50,2010-12-13
Alabama,2010,51,13.0878,1297,36,9910,2010-51,2010-12-20
Alabama,2010,52,11.6592,1274,38,10927,2010-52,2010-12-27
Alabama,2011,1,9.73755,1191,37,12231,2011-1,2011-01-03
Alabama,2011,2,11.944,1195,38,10005,2011-2,2011-01-10
Alabama,2011,3,13.1063,1624,38,12391,2011-3,2011-01-17
Alabama,2011,4,14.7376,1938,39,13150,2011-4,2011-01-24
Alabama,2011,5,12.5984,1504,36,11938,2011-5,2011-01-31
Alabama,2011,6,11.5078,1586,38,13782,2011-6,2011-02-07
Alabama,2011,7,11.9696,1450,35,12114,2011-7,2011-02-14
Alabama,2011,8,9.67196,1200,33,12407,2011-8,2011-02-21
Alabama,2011,9,6.80203,737,32,10835,2011-9,2011-02-28
Alabama,2011,10,5.82572,593,30,10179,2011-10,2011-03-07
Alabama,2011,11,4.04606,390,29,9639,2011-11,2011-03-14
Alabama,2011,12,3.43834,334,29,9714,2011-12,2011-03-21
Alabama,2011,13,3.17374,291,28,9169,2011-13,2011-03-28
Alabama,2011,14,2.74659,252,27,9175,2011-14,2011-04-04
Alabama,2011,15,2.67592,189,24,7063,2011-15,2011-04-11
Alabama,2011,16,2.76866,194,24,7007,2011-16,2011-04-18
Alabama,2011,17,3.28311,207,23,6305,2011-17,2011-04-25
Alabama,2011,18,3.00455,198,21,6590,2011-18,2011-05-02
Alabama,2011,19,2.64628,180,22,6802,2011-19,2011-05-09
Alabama,2011,20,2.46441,161,21,6533,2011-20,2011-05-16
Alabama,2011,21,2.72831,167,21,6121,2011-21,2011-05-23
Alabama,2011,22,2.54511,134,19,5265,2011-22,2011-05-30
Alabama,2011,23,2.38925,144,19,6027,2011-23,2011-06-06
Alabama,2011,24,2.51859,149,19,5916,2011-24,2011-06-13
Alabama,2011,25,1.79372,96,18,5352,2011-25,2011-06-20
Alabama,2011,26,2.36038,112,17,4745,2011-26,2011-06-27
Alabama,2011,27,1.84216,88,17,4777,2011-27,2011-07-04
Alabama,2011,28,1.88256,109,17,5790,2011-28,2011-07-11
Alabama,2011,29,1.3618,74,16,5434,2011-29,2011-07-18
Alabama,2011,30,1.3122,77,17,5868,2011-30,2011-07-25
Alabama,2011,31,0.340219,14,14,4115,2011-31,2011-08-01
Alabama,2011,32,1.79206,111,18,6194,2011-32,2011-08-08
Alabama,2011,33,2.1645,130,18,6006,2011-33,2011-08-15
Alabama,2011,34,2.3037,142,17,6164,2011-34,2011-08-22
Alabama,2011,35,2.34438,145,16,6185,2011-35,2011-08-29
Alabama,2011,36,3.44828,181,17,5249,2011-36,2011-09-05
Alabama,2011,37,3.55951,224,18,6293,2011-37,2011-09-12
Alabama,2011,38,3.38738,234,21,6908,2011-38,2011-09-19
Alabama,2011,39,3.46445,229,19,6610,2011-39,2011-09-26
Alabama,2011,40,2.49486,267,28,10702,2011-40,2011-10-03
Alabama,2011,41,2.82808,317,29,11209,2011-41,2011-10-10
Alabama,2011,42,3.4254,315,26,9196,2011-42,2011-10-17
Alabama,2011,43,3.83396,387,28,10094,2011-43,2011-10-24
Alabama,2011,44,3.79415,362,27,9541,2011-44,2011-10-31
Alabama,2011,45,4.19269,396,28,9445,2011-45,2011-11-07
Alabama,2011,46,3.28321,286,26,8711,2011-46,2011-11-14
Alabama,2011,47,4.25935,337,27,7912,2011-47,2011-11-21
Alabama,2011,48,3.32254,318,28,9571,2011-48,2011-11-28
Alabama,2011,49,4.55241,387,25,8501,2011-49,2011-12-05
Alabama,2011,50,4.85437,425,28,8755,2011-50,2011-12-12
Alabama,2011,51,5.43074,394,26,7255,2011-51,2011-12-19
Alabama,2011,52,5.80195,416,26,7170,2011-52,2011-12-26
Alabama,2012,1,4.61064,389,28,8437,2012-1,2012-01-02
Alabama,2012,2,4.90335,449,26,9157,2012-2,2012-01-09
Alabama,2012,3,5.7911,545,27,9411,2012-3,2012-01-16
Alabama,2012,4,6.26227,606,27,9677,2012-4,2012-01-23
Alabama,2012,5,6.59096,650,27,9862,2012-5,2012-01-30
Alabama,2012,6,6.43108,697,28,10838,2012-6,2012-02-06
Alabama,2012,7,6.75035,726,28,10755,2012-7,2012-02-13
Alabama,2012,8,6.07355,654,27,10768,2012-8,2012-02-20
Alabama,2012,9,6.24526,577,27,9239,2012-9,2012-02-27
