"STATION","NAME","DATE","PRCP","SNOW","TAVG"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2010-10","0.69","0.5","44.9"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2010-11","0.02","0.0","28.2"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2010-12","0.38","2.8","28.1"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2011-01","0.06","1.1","19.7"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2011-02","0.39","4.5","21.1"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2011-03","0.02","0.2","36.6"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2011-04","0.13","1.0","43.3"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2011-05","0.18","0.4","48.6"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2011-06","0.00","0.0","61.4"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2011-07","0.15","0.0","68.4"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2011-08","1.28","0.0","66.1"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2011-09","1.15","0.0","55.9"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2011-10","0.48","1.8","43.2"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2011-11","0.52","5.6","29.0"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2011-12","0.27","5.1","14.1"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2012-01","0.06","0.1","21.2"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2012-02","0.28","4.3","24.3"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2012-03","0.10","0.7","37.4"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2012-04","0.20","1.2","46.0"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2012-05","0.88","0.3","53.6"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2012-06","0.20","0.0","64.5"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2012-07","1.00","0.0","66.0"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2012-08","0.50","0.0","63.3"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2012-09","1.10","0.0","55.2"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2012-10","0.37","0.0","43.4"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2012-11","0.08","0.0","30.4"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2012-12","0.81","12.1","11.6"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2013-01","0.07","1.0","4.5"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2013-02","0.15","2.4","20.9"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2013-03","0.34","3.4","33.7"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2013-04","0.32","2.2","41.4"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2013-05","0.18","0.0","49.0"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2013-06","0.54","0.0","61.9"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2013-07","0.81","0.0","65.4"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2013-08","2.46","0.0","64.3"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2013-09","2.98","0.0","57.8"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2013-10","0.53","3.5","42.2"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2013-11","1.63","18.1","28.2"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2013-12","0.17","4.0","7.4"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2014-01","0.07","0.9","11.3"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2014-02","0.06","1.6","28.3"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2014-03","0.40","3.4","36.6"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2014-04","1.07","6.9","42.6"
"USW00023061","ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US","2014-05","0.24","1.3","50.6"
